forma,Color,Numero de paredes,Conexión hifal,Reacción con Melzer,Textura,Nombre cientifico,genero,familia,Pais,vegetacion,habitat,Localidad,Información de la especie,Particularidad,tam_min,tam_max,tam_promedio,forma_std,forma_token,espora_cilindrica,espora_clavada,espora_elipsoide,espora_fusiforme,espora_globosa,espora_irregular,espora_oblonga,espora_ovoide,espora_piriforme,espora_reniforme,espora_subglobosa,espora_triangular,color_token,color_amarillo,color_ambar,color_blanco,color_crema,color_dorado,color_gris,color_hialino,color_marron,color_miel,color_naranja,color_negro,color_ocre,color_rojo,color_sin_reporte,color_verdoso,conexion_token,textura_tokens,tex_sup_alveolada,tex_sup_aspera,tex_sup_foveolada,tex_sup_granular,tex_sup_laberintiforme,tex_sup_lisa,tex_sup_ornamentada,tex_sup_perforada,tex_sup_reticulada,tex_sup_rugosa,tex_sup_scrobiculada,tex_sup_verrugosa,tex_est_estratificada,tex_est_laminada,tex_est_membranosa,tex_est_subcapas,tex_est_sublaminada,tex_cons_delgada,tex_cons_evanescente,tex_cons_flexible,tex_cons_fragil,tex_cons_gruesa,tex_cons_mucilaginosa,tex_cons_quebradiza,tex_cons_rigida,tex_cons_semiflexible,tex_cons_suave,tex_orn_crestas,tex_orn_depresiones,tex_orn_espinas,tex_orn_estrias,tex_orn_hoyos,tex_orn_papilas,tex_orn_protuberancias,tex_orn_proyecciones,tex_orn_pustulas,tex_orn_reticulo,tex_orn_verrugas,melzer_negativo,melzer_positivo,melzer_ninguna,melzer_paredes_internas,melzer_sin_reporte
globosa a subglobosa tambien cilindrica ovoide piriforme o irregular,hialino a blanco,3.0,espora sesil tras colapso desprendimiento del saculo pedicelo hialino presentee,positivo,rigida delgada dificil de observar la capa interna,Acaulospora myriocarpa,Acaulospora,Acaulosporaceae,"Colombia, Perú",Pastos tropicales y Yuca,Sabanas y Agroecosistemas,Varias regiones,micorriza vesiculo arbuscular forma esporocarpos pequenos e irregulares,similar a ac sporocarpia y ac trappei pero con diferencias en color y presencia de esporocarpos,32.0,90.0,61.0,globosa,"['ovoide', 'subglobosa', 'irregular', 'cilindrica', 'piriforme', 'globosa']",1,0,0,0,1,1,0,1,1,0,1,0,"['hialino', 'blanco']",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"{'estructura': ['pedicelo', 'saco_esporifero'], 'forma': [], 'septo': [], 'poro': [], 'extra': ['sesil', 'colapso', 'desprendimiento']}","{'superficie': [], 'estructura': [], 'consistencia': ['rigida', 'delgada'], 'ornamentacion': []}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
globosa a subglobosa,amarillo palido a marron cremoso,3.0,sesil cicatriz presentee,positivo,superficie quebradiza con protuberancias hemisfericas espaciadas irregularmente,Acaulospora colliculosa,Acaulospora,Acaulosporaceae,Estados Unidos,Hierbas nativas de sucesión ecológica.,Campos abandonados,"Durham, North Carolina",presentea afinidad molecular confirmada con miembros de acaulospora similar en forma y color a a morrowiae y a delicata,protuberancias hemisfericas unicas en la pared de la espora que la diferencian de otras especies como a spinosa y a tuberculata,70.0,95.0,82.5,globosa,"['subglobosa', 'globosa']",0,0,0,0,1,0,0,0,0,0,1,0,"['amarillo', 'marron', 'crema']",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,"{'estructura': ['cicatriz'], 'forma': [], 'septo': [], 'poro': [], 'extra': ['sesil']}","{'superficie': [], 'estructura': [], 'consistencia': ['quebradiza'], 'ornamentacion': ['protuberancias']}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
globosas a subglobosas,amarillo palido a amarillo oscuro,2.0,continua con la pared del cuello del saco esporifero,positivo,superficie lisa externa capa germinal rigida y quebrable,Acaulospora gedanensis,Acaulospora,Acaulosporaceae,Polonia,Enebro común y Pasto Barrón.,Dunas de Arena,Chałupy / Kuznica,asociada con micorrizacion vesiculo arbuscular en muchas plantas,rigidez y fragilidad en la pared germinal capa germinal lisa y no reactiva a melzer diferenciandola de otras especies,55.0,75.0,65.0,globosa,"['subglobosa', 'globosa']",0,0,0,0,1,0,0,0,0,0,1,0,['amarillo'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'estructura': ['saco_esporifero'], 'forma': [], 'septo': [], 'poro': [], 'extra': []}","{'superficie': ['lisa'], 'estructura': [], 'consistencia': ['rigida'], 'ornamentacion': []}",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
globosas a subglobosas en grupos o solitarias,amarillo claro a ocre,2.0,recta a ligeramente embudo poro abierto o con septo,negativo,lisa evanescente en capa,Funneliformis africanum,Funneliformis,Glomeraceae,"Egipto, Sudáfrica, Polonia, Bulgaria.",Gramíneas de desierto,Zonas Semiáridas / Sabana.,Variada.,esporas en grupos de desarrolladas en extremos o intercaladas en hifas extraradicales,la capa externa es gruesa y evanescente la interna es laminada y muy delgada comparada con otras especies del genero glomus,60.0,130.0,95.0,globosa,"['subglobosa', 'globosa']",0,0,0,0,1,0,0,0,0,0,1,0,"['amarillo', 'ocre']",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"{'estructura': [], 'forma': ['recta', 'embudo'], 'septo': ['con_septo'], 'poro': ['poro_abierto'], 'extra': []}","{'superficie': ['lisa'], 'estructura': [], 'consistencia': ['evanescente'], 'ornamentacion': []}",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
globosa a subglobosa ocasionalmente irregular,subhialino a amarillo palido,3.0,espora formada a partir del cuello del saculo esporifero dejando una cicatriz circular u oval,positivo,lisa a rugosa cuando l no se desprende superficie plegada rugosa,Acaulospora morrowiae,Acaulospora,Acaulosporaceae,Estados Unidos; Colombia; otros países de América del Norte y del Sur; Hawái,Gramíneas y plantas herbáceas,Suelos rizosféricos ácidos,Múltiples localidades,se encuentra micorrizando con vesiculo arbuscular en diversas especies de plantas,similar a a longula y a rugosa diferenciada por textura rugosa y color amarillo brillante de las esporas,60.0,100.0,80.0,globosa,"['irregular', 'subglobosa', 'globosa']",0,0,0,0,1,1,0,0,0,0,1,0,"['amarillo', 'hialino']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"{'estructura': ['saco_esporifero', 'saco_esporifero', 'cicatriz'], 'forma': [], 'septo': [], 'poro': [], 'extra': []}","{'superficie': ['lisa', 'rugosa'], 'estructura': [], 'consistencia': [], 'ornamentacion': []}",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
globosa subglobosa,subhialina a crema,3.0,cilindrica ligeramente acampanada oclusion por capa,positivo,minutos surcos reticulados o laberintiformes,Paraglomus brasilianum,Paraglomus,Paraglomeraceae,Brasil,Maíz Soya Pastos,Suelos Tropicales Cerrado,Diversas localidades,pared de la espora consta de capas similar en tamano color y forma a p occultum pero mas opaca y con flotabilidad inusual en agua pcr permite diferenciarlas a nivel de adn,unica por presentear vesiculas raro en paraglomus propiedades morfologicas y flotabilidad la diferencian de otras especies,60.0,140.0,100.0,globosa,"['subglobosa', 'globosa']",0,0,0,0,1,0,0,0,0,0,1,0,"['crema', 'hialino']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,"{'estructura': [], 'forma': ['cilindrica', 'acampanada'], 'septo': [], 'poro': [], 'extra': []}","{'superficie': ['laberintiforme'], 'estructura': [], 'consistencia': [], 'ornamentacion': []}",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
globosas a subglobosas ocasionalmente irregulares,rojo anaranjado a rojo cafe oscuro,3.0,continua con el cuello del saco esporifero cicatriz ovoide o circular,positivo,superficie con depresiones concavas hoyos circulares u ovoides de tamano uniforme,Acaulospora foveata,Acaulospora,Acaulosporaceae,Europa,Vegetación forestal y ribereña; árboles y arbustos,Suelos rizosféricos en ambientes húmedos tropicales y forestales,Norte de Europa,asociada con micorrizacion vesiculo arbuscular en salix triandra y thuja occidentalis,similar a a cavernata pero se distingue por la reaccion de su capa interna en melzer y esporas mas grandes,240.0,360.0,300.0,globosa,"['irregular', 'subglobosa', 'globosa']",0,0,0,0,1,1,0,0,0,0,1,0,"['rojo', 'naranja', 'marron']",0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,"{'estructura': ['saco_esporifero', 'cicatriz'], 'forma': [], 'septo': [], 'poro': [], 'extra': []}","{'superficie': [], 'estructura': [], 'consistencia': [], 'ornamentacion': ['depresiones', 'hoyos']}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
globosa a subglobosa,rojo anaranjado a marron rojizo oscuro,3.0,espora formada a partir del cuello del saculo esporifero unida mediante un pedicelo corto y dejando una cicatriz ornamentada,positivo,laminada ornamentada con proyecciones tuberculares de patron rugosa parecida a hexagonos,Acaulospora tuberculata,Acaulospora,Acaulosporaceae,Panamá / Colombia,Palmeras nativas y pastos forrajeros,Bosque Tropical y Sabana,Isla Barro Colorado (Panamá) / Carimagua (Colombia),la especie ha sido reportada en bosques humedos de colombia y panama,esporas solitarias,120.0,280.0,200.0,globosa,"['subglobosa', 'globosa']",0,0,0,0,1,0,0,0,0,0,1,0,"['rojo', 'naranja', 'marron']",0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,"{'estructura': ['pedicelo', 'saco_esporifero', 'saco_esporifero', 'cicatriz'], 'forma': [], 'septo': [], 'poro': [], 'extra': []}","{'superficie': ['rugosa', 'ornamentada'], 'estructura': ['laminada'], 'consistencia': [], 'ornamentacion': ['proyecciones']}",0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
ovoide a irregular en esporocarpos densos,rojo ladrillo marron rojizo intenso,3.0,recta o curvada poro cerrado por capa interna,negativo,laminada con capa flexible interna,Funneliformis badium,Funneliformis,Glomeraceae,"Polonia, Alemania, Francia, Suiza, Italia.",Praderas naturales de alta diversidad.,Suelos no labrados,Suelos y raíces micorrizadas.,esporas en esporocarpos compactos con estructura tipo cistidio y hifa plexo central,caracteristica distintiva esporocarpos densos sin peridium y capas diferenciadas en la pared de la espora,120.0,175.0,147.5,ovoide,"['irregular', 'ovoide']",0,0,0,0,0,1,0,1,0,0,0,0,"['rojo', 'marron']",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"{'estructura': [], 'forma': ['recta', 'curvada', 'curvada'], 'septo': [], 'poro': ['poro_cerrado'], 'extra': []}","{'superficie': [], 'estructura': ['laminada'], 'consistencia': ['flexible'], 'ornamentacion': []}",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
globosa,amarillo a marron,4.0,recta o curva poro cerrado por un septo curveado,positivo,laminada con capas rigidas y mucilaginosas,Funneliformis caledonium,Funneliformis,Glomeraceae,"Polonia, EE.UU., Escocia, Israel, India, Taiwán, Nueva Zelanda, Australia.","Cereales de invierno (Trigo, Cebada).",Agroecosistemas templados.,Suelos y raíces micorrizadas.,forma micorrizas vesiculo arbusculares en raices de plantago lanceolata y presentea esporas con cuatro capas,esporas grandes y capas diferenciadas en la pared estructura interna unica que la distingue de especies similares como gl mosseae,90.0,370.0,230.0,globosa,['globosa'],0,0,0,0,1,0,0,0,0,0,0,0,"['amarillo', 'marron']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"{'estructura': [], 'forma': ['recta', 'curvada'], 'septo': ['septo_curvado'], 'poro': ['poro_cerrado'], 'extra': []}","{'superficie': [], 'estructura': ['laminada'], 'consistencia': ['rigida', 'mucilaginosa'], 'ornamentacion': []}",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
